1 - ADMINISTRACION GUBERNAMENTAL,11-Legislativa,1.440,6
1 - ADMINISTRACION GUBERNAMENTAL,12-Judicial,4.785,8
1 - ADMINISTRACION GUBERNAMENTAL,13-Dirección Superior Ejecutiva,2.407,4
1 - ADMINISTRACION GUBERNAMENTAL,14-Relaciones Exteriores,2.696,5
1 - ADMINISTRACION GUBERNAMENTAL,15-Relaciones Interiores,10.862,5
1 - ADMINISTRACION GUBERNAMENTAL,16-Administración Fiscal,2.731,2
1 - ADMINISTRACION GUBERNAMENTAL,17-Control de la Gestión Pública,246,4
1 - ADMINISTRACION GUBERNAMENTAL,18-Información y Estadística Básicas,732,4
2 - SERVICIOS DE DEFENSA Y SEGURIDAD,21-Defensa,7.684,0
2 - SERVICIOS DE DEFENSA Y SEGURIDAD,22-Seguridad Interior,10.377,8
2 - SERVICIOS DE DEFENSA Y SEGURIDAD,23-Sistema Penal,1.334,6
2 - SERVICIOS DE DEFENSA Y SEGURIDAD,24-Inteligencia,904,7
3 - SERVICIOS SOCIALES,31-Salud,11.477,1
3 - SERVICIOS SOCIALES,32-Promoción y Asistencia Social,9.382,2
3 - SERVICIOS SOCIALES,33-Seguridad Social,131.623,3
3 - SERVICIOS SOCIALES,34-Educación y Cultura,21.918,7
3 - SERVICIOS SOCIALES,35-Ciencia y Técnica,5.075,8
3 - SERVICIOS SOCIALES,36-Trabajo,2.315,6
3 - SERVICIOS SOCIALES,37-Vivienda y Urbanismo,5.289,9
3 - SERVICIOS SOCIALES,38-Agua Potable y Alcantarillado,3.403,6
3 - SERVICIOS SOCIALES,39-Otros Servicios Urbanos,0,0
4 - SERVICIOS ECONOMICOS,41-Energía, Combustibles y Minería,30.807,0
4 - SERVICIOS ECONOMICOS,42-Comunicaciones,2.696,9
4 - SERVICIOS ECONOMICOS,43-Transporte,26.825,3
4 - SERVICIOS ECONOMICOS,44-Ecología y Medio Ambiente,818,9
4 - SERVICIOS ECONOMICOS,45-Agricultura,5.463,8
4 - SERVICIOS ECONOMICOS,46-Industria,701,0
4 - SERVICIOS ECONOMICOS,47-Comercio, Turismo y Otros Servicios,631,6
4 - SERVICIOS ECONOMICOS,48-Seguros y Finanzas,630,9
5 - DEUDA PUBLICA,51-Servicio de la Deuda Pública,23.768,6
